lat,lon,ele,time,temperature,distance_m,distance_total_m,delta_time_s,velocity_m_s,velocity_km_h,acceleration_m_s2,height_difference_m,slope_percent,slope_rad,force_total_n,power_w,torque_nm,motor_current_a,lipo_soc,lipo_voltage_v,lipo_battery_current_a,nmc_soc,nmc_voltage_v,nmc_battery_current_a
47.583114,12.170826,494.888597,2024-08-23 16:21:14.187000+00:00,28.6996806550406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2784,0.0,2.15286336,1.43524224,1.0,42.0,0.0,1.0,42.0,0.0
47.58291,12.170766,494.888597,2024-08-23 16:21:16.665000+00:00,28.85415312510336,23.1258514176239,23.1258514176239,2.4779999999999998,9.332466270227563,33.59687857281923,3.7661284383484923,0.0,0.0,0.0,337.57559902729844,3150.412891574127,115.75467290646063,77.16978193764042,0.9978088179629317,41.229613378450395,76.39956739414906,0.9978139638838398,41.316314117049274,76.22014545449522
47.58282,12.170733,494.888597,2024-08-23 16:21:17.800000+00:00,28.6991466938853,10.30908002978211,33.43493144740601,1.135,9.082889894081156,32.69840361869216,-0.21989108030520493,0.0,0.0,0.0,17.110558867106025,155.41332221611802,5.867210635530656,3.911473757020437,0.9977601581526241,41.956425651199964,3.704147674518765,0.9977652974121815,41.950451551020244,3.7046547588358534
47.582361,12.170592,494.888597,2024-08-23 16:21:23.180000+00:00,29.92613909225447,52.12262430082589,85.55755574823189,5.38,9.688220130265035,34.87759246895413,0.11251491378882526,0.0,0.0,0.0,47.617850679653245,461.3322195145712,16.328160998053097,10.885440665368732,0.9970742890818708,41.88131967330462,11.01470031841707,0.9970794803440362,41.8812380289478,11.013865183597154
47.58204,12.170486,494.421468,2024-08-23 16:21:26.780000+00:00,28.99325138763103,36.56830792373178,122.12586367196367,3.6,10.157863312147716,36.56830792373178,0.1304564394118558,-0.4671289999999999,-1.2774148614539713,-0.012773453858836038,42.23955686658809,429.0636450164923,14.483944049553054,9.655962699702036,0.9966475031563385,41.88779326207824,10.24286221277464,0.9966526836590996,41.88470993754976,10.243120438477147
47.58181,12.170483,493.881502,2024-08-23 16:21:30.342000+00:00,28.47114453552205,25.575822981050255,147.70168665301392,3.5620000000000003,7.1801861260668876,25.848670053840795,-0.8359565373612657,-0.5399659999999926,-2.111236070096616,-0.021109224722941033,-59.40247733669473,-426.52084362693824,-20.369109478752623,-13.579406319168415,0.9970652618308711,42.09277204122234,-10.133169421563082,0.9970707252988211,42.06626751635032,-10.140033035355598
47.581595,12.170488,493.376709,2024-08-23 16:21:33.693000+00:00,29.411272456051595,23.909850552440687,171.61153720545462,3.351,7.135138929406352,25.68650014586287,-0.013442911566856237,-0.5047930000000065,-2.111234442443965,-0.02110920845366625,6.176449259141815,44.069823554405794,2.1179044509597285,1.411936300639819,0.9970245472648748,41.98082401784819,1.0497578341020386,0.997029998520229,41.968041852392595,1.050072715713668
47.581237,12.170422,492.5298,2024-08-23 16:21:39.198000+00:00,28.38957817501449,40.1144092255026,211.7259464309572,5.505,7.286904491462779,26.232856169266004,0.027568676122874922,-0.8469089999999824,-2.1112338841614124,-0.021109202873328053,10.21148015420912,74.41008060018946,3.501516544878307,2.3343443632522045,0.9969115938927735,41.97326431715628,1.7727831697637697,0.9969170131692541,41.96084752324637,1.7732850725228184
47.580869,12.170301,491.644894,2024-08-23 16:21:43.213000+00:00,29.10443179750238,41.91412279791215,253.64006922886935,4.015,10.439383013178618,37.581778847443026,0.7851752233414296,-0.8849060000000009,-2.111235881677763,-0.02110922283959197,90.07299421380414,940.3064857417229,30.886029715913438,20.590686477275625,0.9958653814827997,41.762803081491526,22.513761449997105,0.9958711407664524,41.77141402113109,22.506444732766386
47.580779,12.170241,491.413231,2024-08-23 16:21:44.221000+00:00,28.020164938060113,10.972895030063437,264.6129642589328,1.008,10.88580856157087,39.188910821655135,0.4428824884843771,-0.23166300000002593,-2.111229528445481,-0.02110915933557482,65.96960077722935,718.1324449441755,22.620976106511943,15.08065073767463,0.9956650234683269,41.8156208774726,17.17354409766898,0.9956707917517175,41.81654764237859,17.172772691571122
